"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Lupanshui","Lupanshui","26.5944","104.8333","China","CN","CHN","Guizhou","","1221000","1156070389"
"Fengcheng","Fengcheng","28.2004","115.7700","China","CN","CHN","Jiangxi","","61469","1156545200"
"Yulin","Yulin","22.6300","110.1500","China","CN","CHN","Guangxi","","1127000","1156901312"
"Shishou","Shishou","29.7004","112.4000","China","CN","CHN","Hubei","","231787","1156284109"
"Yantai","Yantai","37.5304","121.4000","China","CN","CHN","Shandong","","2116000","1156932948"
"Yishui","Yishui","35.7904","118.6200","China","CN","CHN","Shandong","","94115","1156736933"
"Zibo","Zibo","36.8000","118.0500","China","CN","CHN","Shandong","","3061000","1156381094"
"Shanghai","Shanghai","31.2165","121.4365","China","CN","CHN","Shanghai","admin","14987000","1156073548"
"Weifang","Weifang","36.7204","119.1001","China","CN","CHN","Shandong","","1553000","1156912965"
"Yongzhou","Yongzhou","26.2304","111.6200","China","CN","CHN","Hunan","","1000000","1156694479"
"Zunyi","Zunyi","27.7000","106.9200","China","CN","CHN","Guizhou","","849000","1156539782"
"Wuyuan","Wuyuan","41.0896","108.2722","China","CN","CHN","Inner Mongolia","","30057","1156146594"
"Shuangcheng","Shuangcheng","45.3503","126.2800","China","CN","CHN","Heilongjiang","","130710","1156257611"
"Shijianzhuang","Shijianzhuang","38.0500","114.4800","China","CN","CHN","Hebei","admin","2417000","1156217541"
"Qinhuangdao","Qinhuangdao","39.9304","119.6200","China","CN","CHN","Hebei","","1003000","1156091093"
"Guangshui","Guangshui","31.6204","114.0000","China","CN","CHN","Hubei","","154771","1156267419"
"Nanchang","Nanchang","28.6800","115.8800","China","CN","CHN","Jiangxi","admin","2350000","1156198892"
"Nehe","Nehe","48.4900","124.8800","China","CN","CHN","Heilongjiang","","108253","1156609562"
"Shangqiu","Shangqiu","34.4504","115.6500","China","CN","CHN","Henan","","1753000","1156805441"
"Hengshui","Hengshui","37.7200","115.7000","China","CN","CHN","Hebei","","456356","1156803028"
"Xiaogan","Xiaogan","30.9204","113.9000","China","CN","CHN","Hubei","","160437","1156002290"
"Xiangtan","Xiangtan","27.8504","112.9000","China","CN","CHN","Hunan","","2586948","1156195684"
"Xian","Xian","34.2750","108.8950","China","CN","CHN","Shaanxi","admin","4009000","1156244079"
"Tianjin","Tianjin","39.1300","117.2000","China","CN","CHN","Tianjin","admin","7180000","1156174046"
"Daqing","Daqing","46.5800","125.0000","China","CN","CHN","Heilongjiang","","1693000","1156403962"
"Taian","Taian","36.2000","117.1201","China","CN","CHN","Shandong","","1629000","1156095188"
"Nangong","Nangong","37.3704","115.3700","China","CN","CHN","Hebei","","82386","1156426803"
"Shizuishan","Shizuishan","39.2333","106.7690","China","CN","CHN","Ningxia","","136570","1156361664"
"Changsha","Changsha","28.2000","112.9700","China","CN","CHN","Hunan","admin","2604000","1156961497"
"Shenyeng","Shenyeng","41.8050","123.4500","China","CN","CHN","Liaoning","admin","4787000","1156309382"
"Panshi","Panshi","42.9426","126.0561","China","CN","CHN","Jilin","","86216","1156659612"
"Jilin","Jilin","43.8500","126.5500","China","CN","CHN","Jilin","","2396000","1156646448"
"Macheng","Macheng","31.1800","115.0300","China","CN","CHN","Hubei","","126366","1156949639"
"Mishan","Mishan","45.5504","131.8800","China","CN","CHN","Heilongjiang","","87257","1156267144"
"Hengyang","Hengyang","26.8800","112.5900","China","CN","CHN","Hunan","","1016000","1156696884"
"Keshan","Keshan","48.0263","125.8660","China","CN","CHN","Heilongjiang","","72403","1156775094"
"Haikou","Haikou","20.0500","110.3200","China","CN","CHN","Hainan","admin","2046189","1156183327"
"Hohhot","Hohhot","40.8200","111.6600","China","CN","CHN","Inner Mongolia","admin","1726000","1156210167"
